model,MAE,RMSE,params
KernelRidge(kernel='rbf'),1695.8198327125422,2607.172360249321,"{'alpha': np.float64(0.0011914425988266918), 'gamma': np.float64(817.9422039374388)}"
KernelRidge(kernel='rbf'),1930.6469445442117,2949.885039110266,"{'alpha': np.float64(0.0018756329486724378), 'gamma': np.float64(109.0763982971388)}"
KernelRidge(kernel='rbf'),2110.0040795008595,3185.8183078669194,"{'alpha': np.float64(0.008935057510817187), 'gamma': np.float64(180.9682843038174)}"
KernelRidge(kernel='rbf'),2412.1289044118266,3652.412655011705,"{'alpha': np.float64(0.0094318809058334), 'gamma': np.float64(83.72460711298456)}"
KernelRidge(kernel='rbf'),1568.2154048164755,2373.9893265081178,"{'alpha': np.float64(0.0010158193185607197), 'gamma': np.float64(0.1238812447020524)}"
model,MAE,RMSE,params
KernelRidge(kernel='rbf'),1820.3698673214885,2655.2244082423263,"{'alpha': np.float64(0.009272598212071494), 'gamma': np.float64(17.34997227931169)}"
KernelRidge(kernel='rbf'),2494.8496312965904,3659.6977843522377,"{'alpha': np.float64(0.007686522260488297), 'gamma': np.float64(253.91565123311443)}"
KernelRidge(kernel='rbf'),1551.0688016522279,2244.03604086155,"{'alpha': np.float64(0.0906637675279127), 'gamma': np.float64(221.9192534359216)}"
KernelRidge(kernel='rbf'),1856.0705335837683,2691.974048123402,"{'alpha': np.float64(0.0056658799281466285), 'gamma': np.float64(549.1121032716104)}"
KernelRidge(kernel='rbf'),2497.519176635378,3661.2246056207723,"{'alpha': np.float64(0.004529121011282436), 'gamma': np.float64(141.22833966606427)}"
KernelRidge(kernel='rbf'),2399.40710889717,3507.099540912272,"{'alpha': np.float64(0.021367302587738276), 'gamma': np.float64(46.260387847194835)}"
KernelRidge(kernel='rbf'),2616.725827792561,3884.182693382334,"{'alpha': np.float64(0.02194471774407579), 'gamma': np.float64(94.67421017699135)}"
KernelRidge(kernel='rbf'),1889.65394511203,2752.242599592622,"{'alpha': np.float64(0.00970434440213266), 'gamma': np.float64(2.6455067337623865)}"
KernelRidge(kernel='rbf'),1350.4920844912524,1873.824246017376,"{'alpha': np.float64(0.0011263606302415231), 'gamma': np.float64(30.112842182458216)}"
KernelRidge(kernel='rbf'),1680.7634064544147,2454.4801053526467,"{'alpha': np.float64(0.001891019379857644), 'gamma': np.float64(571.7549988772972)}"
