model,MAE,RMSE,params
KernelRidge(),2382.5443203149753,3537.7501351006463,"{'alpha': np.float64(0.0037092753201821748), 'gamma': np.float64(994.5723487328218), 'kernel': 'polynomial'}"
KernelRidge(),2454.914511661297,3664.10818600159,"{'alpha': np.float64(0.0963470793553085), 'gamma': np.float64(186.97634181803338), 'kernel': 'poly'}"
KernelRidge(),1278.7777886100835,1804.9529273964106,"{'alpha': np.float64(0.30273976627671184), 'gamma': np.float64(326.19485545291684), 'kernel': 'poly'}"
KernelRidge(),2429.2878385466993,3616.3163647451106,"{'alpha': np.float64(0.0015793664314075495), 'gamma': np.float64(427.9422969153744), 'kernel': 'poly'}"
KernelRidge(),2380.419415489149,3539.903583596708,"{'alpha': np.float64(0.0048847203785576535), 'gamma': np.float64(6.909040040889832), 'kernel': 'polynomial'}"
KernelRidge(),2496.291174853171,3888.1690712632953,"{'alpha': np.float64(0.04497332035713967), 'gamma': np.float64(134.0844146483731), 'kernel': 'rbf'}"
KernelRidge(),2555.7587337355753,3862.3753504114684,"{'alpha': np.float64(0.020839812323690057), 'gamma': np.float64(0.004504402694041377), 'kernel': 'linear'}"
KernelRidge(),1701.1810564861892,2555.5775064203467,"{'alpha': np.float64(0.35370472875014586), 'gamma': np.float64(52.950172978669144), 'kernel': 'rbf'}"
KernelRidge(),2372.0804309605464,3528.79150596072,"{'alpha': np.float64(0.0024647831514000218), 'gamma': np.float64(83.90313861177157), 'kernel': 'rbf'}"
KernelRidge(),2524.4592859586287,3797.066763642621,"{'alpha': np.float64(0.004678142653057603), 'gamma': np.float64(9.941174656901525), 'kernel': 'poly'}"
model,MAE,RMSE,params
KernelRidge(),2447.2462618569966,3620.7377701553633,"{'alpha': np.float64(2.2056997727610332e-05), 'gamma': np.float64(2377.3668712466592), 'kernel': 'poly'}"
KernelRidge(),1338.0272256941419,2193.852030870318,"{'alpha': np.float64(6.083726508889306e-05), 'gamma': np.float64(0.090642077263681), 'kernel': 'polynomial'}"
KernelRidge(),1321.6983315785742,1812.4013690907832,"{'alpha': np.float64(0.029863128803690665), 'gamma': np.float64(277303.70979655825), 'kernel': 'rbf'}"
