model,MAE,RMSE,params
KernelRidge(kernel='rbf'),2398.7644691559603,3591.302961734974,"{'alpha': np.float64(0.0019364344852822624), 'gamma': np.float64(33.068621778361184)}"
KernelRidge(kernel='rbf'),1657.082104625642,2462.14003788907,"{'alpha': np.float64(0.05559871880309797), 'gamma': np.float64(76.51196389976523)}"
KernelRidge(kernel='rbf'),1945.60992544987,2934.355269459527,"{'alpha': np.float64(0.013933785938789177), 'gamma': np.float64(822.8115409026229)}"
KernelRidge(kernel='rbf'),2400.7352382095173,3591.698961157335,"{'alpha': np.float64(0.03236707729557982), 'gamma': np.float64(628.3724120270508)}"
KernelRidge(kernel='rbf'),1472.4104085331976,2121.2363452485306,"{'alpha': np.float64(0.5554748631032582), 'gamma': np.float64(825.6794696972221)}"
KernelRidge(kernel='rbf'),1826.978607566232,2751.4762490275134,"{'alpha': np.float64(0.003377952818312651), 'gamma': np.float64(495.95965392571793)}"
KernelRidge(kernel='rbf'),2418.9592436299126,3626.9103064887813,"{'alpha': np.float64(0.027330089802775234), 'gamma': np.float64(810.8853976556966)}"
KernelRidge(kernel='rbf'),2316.678353411783,3466.652056532152,"{'alpha': np.float64(0.19033795138837425), 'gamma': np.float64(189.1711018789091)}"
KernelRidge(kernel='rbf'),2456.596170758081,3697.4009892748923,"{'alpha': np.float64(0.00480222162128199), 'gamma': np.float64(16.50969534366786)}"
KernelRidge(kernel='rbf'),2131.634241468542,3204.7241704605694,"{'alpha': np.float64(0.15892378024596918), 'gamma': np.float64(13.437190114459167)}"
