model,MAE,RMSE,params
MLPRegressor(),112.93754853742254,148.07755200446684,"{'activation': 'tanh', 'alpha': np.float64(0.07498858932989942), 'early_stopping': False, 'hidden_layer_sizes': 99, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.12037786718621497)}"
MLPRegressor(),134.49629340586674,169.771500053233,"{'activation': 'identity', 'alpha': np.float64(0.03428059716119121), 'early_stopping': False, 'hidden_layer_sizes': 111, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.1873938658666363)}"
MLPRegressor(),117.97898938666262,153.596650332733,"{'activation': 'relu', 'alpha': np.float64(0.0035299834571728248), 'early_stopping': True, 'hidden_layer_sizes': 115, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.19439135776246616)}"
MLPRegressor(),132.44631349474963,169.8487277794723,"{'activation': 'identity', 'alpha': np.float64(0.08116248857742038), 'early_stopping': True, 'hidden_layer_sizes': 83, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.17000874906802677)}"
MLPRegressor(),116.75009774058975,149.35572086085375,"{'activation': 'tanh', 'alpha': np.float64(0.015113245084480986), 'early_stopping': True, 'hidden_layer_sizes': 195, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.12423883515420468)}"
MLPRegressor(),120.76929817022786,153.80815987663465,"{'activation': 'identity', 'alpha': np.float64(0.05793021836546795), 'early_stopping': True, 'hidden_layer_sizes': 184, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.1733348638069504)}"
MLPRegressor(),167.5572405008955,203.50532641054014,"{'activation': 'identity', 'alpha': np.float64(0.08765176844277826), 'early_stopping': False, 'hidden_layer_sizes': 85, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.19486665497633043)}"
MLPRegressor(),112.06619571799808,146.55901701560558,"{'activation': 'tanh', 'alpha': np.float64(0.032497474534495724), 'early_stopping': False, 'hidden_layer_sizes': 108, 'solver': 'sgd', 'validation_fraction': np.float64(0.19138843610022832)}"
MLPRegressor(),117.41747278943139,152.959889002294,"{'activation': 'identity', 'alpha': np.float64(0.006729195631960594), 'early_stopping': True, 'hidden_layer_sizes': 177, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.14447936492978736)}"
MLPRegressor(),121.5087958782913,156.62073204856148,"{'activation': 'identity', 'alpha': np.float64(0.05374660041871267), 'early_stopping': False, 'hidden_layer_sizes': 96, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.14998056247689318)}"
MLPRegressor(),118.32169606588542,152.05183803175927,"{'activation': 'identity', 'alpha': np.float64(0.07501219020497261), 'early_stopping': False, 'hidden_layer_sizes': 129, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.12236742943101779)}"
MLPRegressor(),119.77648780102247,155.71642645614233,"{'activation': 'identity', 'alpha': np.float64(0.06654525942436432), 'early_stopping': False, 'hidden_layer_sizes': 192, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.1459295261332191)}"
MLPRegressor(),115.59169870586321,149.93222909369774,"{'activation': 'identity', 'alpha': np.float64(0.03141693946792441), 'early_stopping': True, 'hidden_layer_sizes': 58, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.13378391210248225)}"
MLPRegressor(),118.93025553103728,153.02246241914477,"{'activation': 'identity', 'alpha': np.float64(0.09080632152040273), 'early_stopping': True, 'hidden_layer_sizes': 189, 'solver': 'lbfgs', 'validation_fraction': np.float64(0.17798719718316183)}"
