model,MAE,RMSE,params
RandomForestRegressor(),94.1531081470236,121.15622266227412,"{'max_depth': 12, 'max_features': 7, 'min_samples_split': 11, 'n_estimators': 53}"
RandomForestRegressor(),95.98842614725443,122.18328157392025,"{'max_depth': 18, 'max_features': 7, 'min_samples_split': 2, 'n_estimators': 59}"
RandomForestRegressor(),95.84618035278883,122.26312175851278,"{'max_depth': 11, 'max_features': 6, 'min_samples_split': 8, 'n_estimators': 68}"
RandomForestRegressor(),96.51691745144012,121.35246584564997,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 10, 'n_estimators': 73}"
RandomForestRegressor(),95.53062030569754,122.01442991529316,"{'max_depth': 19, 'max_features': 5, 'min_samples_split': 3, 'n_estimators': 73}"
RandomForestRegressor(),99.00249605816893,125.32592089169562,"{'max_depth': 17, 'max_features': 6, 'min_samples_split': 9, 'n_estimators': 33}"
RandomForestRegressor(),97.04888413656242,121.71069569441086,"{'max_depth': 14, 'max_features': 6, 'min_samples_split': 14, 'n_estimators': 79}"
RandomForestRegressor(),96.51431466092875,121.94932166200772,"{'max_depth': 7, 'max_features': 6, 'min_samples_split': 8, 'n_estimators': 32}"
RandomForestRegressor(),92.74618917267078,119.58530164293589,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 7, 'n_estimators': 74}"
RandomForestRegressor(),97.31514813804557,121.89191403421349,"{'max_depth': 14, 'max_features': 6, 'min_samples_split': 4, 'n_estimators': 33}"
RandomForestRegressor(),91.58208665310808,117.92484279894457,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 8, 'n_estimators': 97}"
RandomForestRegressor(),102.68455504906218,126.79086692163288,"{'max_depth': 16, 'max_features': 7, 'min_samples_split': 2, 'n_estimators': 44}"
RandomForestRegressor(),94.45352747388858,120.79777376161921,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 9, 'n_estimators': 22}"
RandomForestRegressor(),98.00551362530662,124.70881316258858,"{'max_depth': 15, 'max_features': 7, 'min_samples_split': 4, 'n_estimators': 31}"
RandomForestRegressor(),96.26089261507602,121.20101425080165,"{'max_depth': 12, 'max_features': 4, 'min_samples_split': 13, 'n_estimators': 98}"
model,MAE,RMSE,params
RandomForestRegressor(),93.25987894533208,118.28531692586415,"{'max_depth': 12, 'max_features': 5, 'min_samples_split': 6, 'n_estimators': 76}"
RandomForestRegressor(),94.53628094139911,120.3883075612133,"{'max_depth': 18, 'max_features': 7, 'min_samples_split': 2, 'n_estimators': 59}"
RandomForestRegressor(),97.00505198507233,123.24894627091784,"{'max_depth': 11, 'max_features': 6, 'min_samples_split': 8, 'n_estimators': 68}"
RandomForestRegressor(),94.04729740430474,118.91472965742973,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 10, 'n_estimators': 73}"
RandomForestRegressor(),96.62245830652236,122.42314253641018,"{'max_depth': 19, 'max_features': 5, 'min_samples_split': 3, 'n_estimators': 73}"
RandomForestRegressor(),98.37442609339453,124.56399937805818,"{'max_depth': 17, 'max_features': 6, 'min_samples_split': 9, 'n_estimators': 33}"
RandomForestRegressor(),94.86750630047348,121.13110101638664,"{'max_depth': 14, 'max_features': 6, 'min_samples_split': 14, 'n_estimators': 79}"
RandomForestRegressor(),97.4364685646598,123.18888228939001,"{'max_depth': 7, 'max_features': 6, 'min_samples_split': 8, 'n_estimators': 32}"
RandomForestRegressor(),94.87727850415364,119.97619718499521,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 7, 'n_estimators': 74}"
RandomForestRegressor(),96.29599702175275,121.66981073089967,"{'max_depth': 14, 'max_features': 6, 'min_samples_split': 4, 'n_estimators': 33}"
RandomForestRegressor(),92.73000149443928,118.68822107119514,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 8, 'n_estimators': 97}"
RandomForestRegressor(),103.15728439036991,128.7377992102483,"{'max_depth': 16, 'max_features': 7, 'min_samples_split': 2, 'n_estimators': 44}"
RandomForestRegressor(),95.45292629247783,121.8952084578094,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 9, 'n_estimators': 22}"
RandomForestRegressor(),97.59458855947084,123.03318597301866,"{'max_depth': 15, 'max_features': 7, 'min_samples_split': 4, 'n_estimators': 31}"
RandomForestRegressor(),95.19706237126096,121.24855893694323,"{'max_depth': 7, 'max_features': 7, 'min_samples_split': 16, 'n_estimators': 64}"
model,MAE,RMSE,params
RandomForestRegressor(),92.27425226915237,117.85212500770812,"{'max_depth': 12, 'max_features': 7, 'min_samples_split': 11, 'n_estimators': 53}"
RandomForestRegressor(),95.68448335194239,120.29533419201549,"{'max_depth': 18, 'max_features': 7, 'min_samples_split': 2, 'n_estimators': 59}"
RandomForestRegressor(),97.53195117397837,123.15978839899445,"{'max_depth': 11, 'max_features': 6, 'min_samples_split': 8, 'n_estimators': 68}"
RandomForestRegressor(),95.3982162014855,120.71895834882277,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 10, 'n_estimators': 73}"
RandomForestRegressor(),95.3957709027643,121.47305050627948,"{'max_depth': 19, 'max_features': 5, 'min_samples_split': 3, 'n_estimators': 73}"
RandomForestRegressor(),97.4446261612634,124.39697855583951,"{'max_depth': 17, 'max_features': 6, 'min_samples_split': 9, 'n_estimators': 33}"
RandomForestRegressor(),101.10712471478652,127.01526908539438,"{'max_depth': 14, 'max_features': 6, 'min_samples_split': 14, 'n_estimators': 79}"
RandomForestRegressor(),96.52906769021897,123.60072570939225,"{'max_depth': 7, 'max_features': 6, 'min_samples_split': 8, 'n_estimators': 32}"
RandomForestRegressor(),93.4685662362082,119.6951414097008,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 7, 'n_estimators': 74}"
RandomForestRegressor(),97.67000528341141,121.36098257893391,"{'max_depth': 14, 'max_features': 6, 'min_samples_split': 4, 'n_estimators': 33}"
RandomForestRegressor(),92.26654569430677,118.29331430728455,"{'max_depth': 17, 'max_features': 5, 'min_samples_split': 8, 'n_estimators': 97}"
RandomForestRegressor(),101.59818556689791,127.98249799708758,"{'max_depth': 16, 'max_features': 7, 'min_samples_split': 2, 'n_estimators': 44}"
RandomForestRegressor(),93.84490566593686,120.8187909046843,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 9, 'n_estimators': 22}"
RandomForestRegressor(),98.11623182188363,123.0598762894707,"{'max_depth': 11, 'max_features': 7, 'min_samples_split': 4, 'n_estimators': 21}"
RandomForestRegressor(),95.46148139209019,120.92143309139473,"{'max_depth': 7, 'max_features': 7, 'min_samples_split': 16, 'n_estimators': 64}"
